"key","message","comment","context"
"Amount invoiced per month over 3 months",,,
"Customer",,,
"Dashboard","Tableau de bord",,
"Dashboards","Tableaux de bord",,
"Home Dashboard","Accueil",,
"Invoice Amount","Montant facturé",,
"Month","Mois",,
"Sales distribution per product category",,,
"Start date",,,
"Status","Statut",,
"Turnover per customer","Chiffres d'affaire par client",,
"Upcomming events",,,
