"key","message","comment","context"
"Amount invoiced per month over 3 months",,,
"Customer",,,
"Dashboard",,,
"Dashboards",,,
"Home Dashboard",,,
"Invoice Amount",,,
"Month",,,
"Sales distribution per product category",,,
"Start date",,,
"Status",,,
"Turnover per customer",,,
"Upcomming events",,,
