"key","message","comment","context"
"All sale orders",,,
"Cancel Order",,,
"Cancelled",,,
"Cancelled lines",,,
"Cancelling the order is definitive! Do you want to continue?",,,
"Code",,,
"Configuration",,,
"Confirm Quotation",,,
"Confirmation date",,,
"Confirmed",,,
"Confirmed lines",,,
"Customer",,,
"Data",,,
"Dates",,,
"Description",,,
"Draft",,,
"Draft lines",,,
"Export",,,
"Finalize Quotation",,,
"Full name",,,
"Icon",,,
"Icon select",,,
"Image",,,
"Name",,,
"PRESTATION",,,
"PRODUCT",,,
"Please fill at least one sale order line.",,,
"Please fill the form first",,,
"Please select at least one line",,,
"Price",,,
"Prodcut categories tree",,,
"Product",,,
"Product Categories",,,
"Product Category",,,
"Product categories",,,
"Product categories tree",,,
"Product category",,,
"Products",,,
"Quantity",,,
"Quotation",,,
"Quotation date",,,
"Quotation lines",,,
"Quotation sale orders",,,
"Sale",,,
"Sale Orders",,,
"Sale order",,,
"Sale order line",,,
"Sale order lines",,,
"Sale order status select",,,
"Sequence",,,
"Status",,,
"Status select filter",,,
"Tax rate",,,
"There is a detail line with 0 total price. Please correct it.",,,
"Total with tax",,,
"Total without tax",,,
"Unit price untaxed",,,
"mainPanel",,,
